MACRO_REGION,REGION,COUNTRY,IWP PROGRAM,YEAR,FAMILY NAME,GIVEN NAME
Africa,Western Africa,Ghana,Fall Residency,,ANYIDOHO,Kofi
The Americas,South America,Chile,Fall Residency,,CARRASCO,German
The Americas,South America,Brazil,Fall Residency,,CARVALHO,Bernardo 
The Americas,South America,Argentina,Fall Residency,,CASAS,Fabian 
Europe,Eastern Europe,Moldova,Fall Residency,,GARNET,Vasile 
Europe,Eastern Europe,USSR,Fall Residency,,GOSTEVA,Anastasiya 
Asia,Eastern Asia,South Korea,Fall Residency,,HAN,Kang
Europe,Western Europe,France,Fall Residency,,KOLAKOWSKA,Agnieska
Europe,Eastern Europe,USSR,Fall Residency,,MUKHINA,Olga 
Asia,Western Asia,Turkey,Fall Residency,,SAYRON,Erendiz Atasu 
Asia,Western Asia,Israel,Fall Residency,,SHUKAIR,Mahmoud
Europe,Northern Europe,Lithuania,Fall Residency,,SUČYLAITĖ,Jūratė 
Asia,South-eastern Asia,Burma/Myanmar,Fall Residency,,U PE MYINT,U Pe Myint
Africa,Eastern Africa,Uganda,Fall Residency,,WANGUSA,Ayeta Anne 
Europe,Western Europe,Switzerland,Fall Residency,,ZOPFI,Emil 
Europe,Eastern Europe,Poland,Fall Residency,1966,ELEKTOROWICZ,Leszek 
Asia,Eastern Asia,Japan,Fall Residency,1966,KURAHASHI,Yumiko 
Asia,South-eastern Asia,Philippines,Fall Residency,1967,AFABLE,Fernando  
Europe,Western Europe,Germany,Fall Residency,1967,BUCH,Hans Christoph  
Asia,Eastern Asia,Hong Kong,Fall Residency,1967,DAI,Shing Yee
Asia,South-central Asia,India,Fall Residency,1967,GHOSH,Sankha
Europe,Western Europe,France,Fall Residency,1967,NICOLE,Eugene
Asia,South-eastern Asia,Philippines,Fall Residency,1967,NOLLEDO,Wilfrido  D. 
Asia,Eastern Asia,Japan,Fall Residency,1967,RYUICHI,Tamura 
Asia,South-central Asia,Iran,Fall Residency,1967,SAFFARZADEH,Tahereh 
Africa,Western Africa,Liberia,Fall Residency,1967,SANKAWULO,Wilton 
Asia,Eastern Asia,Japan,Fall Residency,1967,TAUCHI,Hatsuyoshi   
Asia,Eastern Asia,Taiwan,Fall Residency,1967,WANG,Ching-Lin 
Asia,South-eastern Asia,Singapore,Fall Residency,1967,WONG,May 
Africa,Eastern Africa,Ethiopia,Fall Residency,1967,WORKU,Daniachew
The Americas,South America,Argentina,Fall Residency,1967,CRANWELL,Elizabeth Azcona   
The Americas,South America,Argentina,Fall Residency,1968,CRANWELL,Elizabeth Azcona   
Asia,Eastern Asia,Japan,Fall Residency,1967,YUMIKO,Tsumura  
Asia,Eastern Asia,Japan,Fall Residency,1968,YUMIKO,Tsumura  
Europe,Eastern Europe,Poland,Fall Residency,1967,BIENKOWSKI,Zbiegniew 
Europe,Eastern Europe,Poland,Fall Residency,1968,BIENKOWSKI,Zbiegniew 
Europe,Eastern Europe,Poland,Fall Residency,1969,BIENKOWSKI,Zbiegniew 
Asia,South-eastern Asia,Cambodia,Fall Residency,1967,OEUR,U. Sam 
Asia,South-eastern Asia,Cambodia,Fall Residency,1992,OEUR,U. Sam 
The Americas,South America,Colombia,Fall Residency,1968,ARBELÁEZ,Fernando
Asia,South-eastern Asia,Philippines,Fall Residency,1968,BAUTISTA,Cirilo F.  
Europe,Western Europe,Belgium,Fall Residency,1968,DE VREE,Freddy 
Asia,Western Asia,Turkey,Fall Residency,1968,ERDURAN,Refik 
The Americas,North America,United States,Fall Residency,1968,EVANS,"Emmery, Jr. "
Europe,Southern Europe,Portugal,Fall Residency,1968,FARIA,Benigno Almeida  
Europe,Western Europe,France,Fall Residency,1968,FESSAGUET,Claude
Asia,South-eastern Asia,Philippines,Fall Residency,1968,GO,Mary Ching  
Europe,Northern Europe,Sweden,Fall Residency,1968,HARDING,Gunnar   
Europe,Eastern Europe,Romania,Fall Residency,1968,IVASIUC,Alexandru 
The Americas,Central America,Panama,Fall Residency,1968,JARAMILLO-LEVI,Enrique 
Europe,Southern Europe,Yugoslavia,Fall Residency,1968,MAJDAK,Zvonimir  
Europe,Southern Europe,Yugoslavia,Fall Residency,1968,OGEN,Mart   
The Americas,North America,United States,Fall Residency,1968,ORTIZ,Simón J.   
Africa,Eastern Africa,Tanzania,Fall Residency,1968,PALANGYO,Peter K. 
The Americas,South America,Chile,Fall Residency,1968,PALAZUELOS,Juan-Agustin
The Americas,Central America,Mexico,Fall Residency,1968,SAINZ,Gustavo Sainz  
The Americas,South America,Brazil,Fall Residency,1968,SANT'ANNA,Affonso Romano De
Europe,Northern Europe,Ireland,Fall Residency,1968,SMITH,Sydney Bernard
Asia,South-central Asia,Sri Lanka,Fall Residency,1968,SURAWEERA,Victor  
Europe,Eastern Europe,Poland,Fall Residency,1968,SZCZEPANSKI,Jan Jozef  
The Americas,South America,Argentina,Fall Residency,1968,TASCA,Susana  
The Americas,South America,Argentina,Fall Residency,1968,VEIRAVÉ,Alfredo  
The Americas,South America,Brazil,Fall Residency,1968,VILELA,Luiz   
Asia,Eastern Asia,Hong Kong,Fall Residency,1968,WAN,Kin-Lau
Asia,Eastern Asia,Taiwan,Fall Residency,1968,YANG,Robert
Asia,Western Asia,Israel,Fall Residency,1968,YEHOSHUA,Avraham B.
Asia,Eastern Asia,Taiwan,Fall Residency,1968,CHENG,Wen-Tao
Asia,Eastern Asia,Taiwan,Fall Residency,1969,CHENG,Wen-Tao
Asia,Eastern Asia,Taiwan,Fall Residency,1971,CHENG,Wen-Tao
The Americas,South America,Chile,Fall Residency,1968,DONOSO,José   
The Americas,South America,Chile,Fall Residency,1991,DONOSO,José   
The Americas,South America,Brazil,Fall Residency,1969,BELL,Lindolf 
Europe,Western Europe,Germany,Fall Residency,1969,BORN,Nicolas
Asia,South-eastern Asia,Philippines,Fall Residency,1969,CASTILLO,Erwin  
The Americas,South America,Brazil,Fall Residency,1969,CHAGAS,Luis Carlos Dolabela  
The Americas,South America,Chile,Fall Residency,1969,CORTINEZ,Carlos  
The Americas,South America,Venezuela,Fall Residency,1969,MADRID,Antonieta Arietti  
Asia,Eastern Asia,Japan,Fall Residency,1969,MIYAMOTO,Yokichi 
The Americas,Central America,Costa Rica,Fall Residency,1969,NARANJO,Carmen
Europe,Southern Europe,Yugoslavia,Fall Residency,1969,OLUJC,Grozdana 
Africa,Eastern Africa,Uganda,Fall Residency,1969,P'BITEK,Okot 
The Americas,South America,Venezuela,Fall Residency,1969,SÁNCHEZ PELÁEZ,Juan 
Asia,Western Asia,Israel,Fall Residency,1969,SENED,Alexander 
Europe,Eastern Europe,Poland,Fall Residency,1969,STRYJKOWSKI,Julian   
The Americas,South America,Argentina,Fall Residency,1969,VALENZUELA,Luisa  
The Americas,Central America,Mexico,Fall Residency,1969,DEL PASO,Fernando 
The Americas,Central America,Mexico,Fall Residency,1970,DEL PASO,Fernando 
Europe,Western Europe,France,Fall Residency,1969,DELAHAYE,Alain
Europe,Western Europe,France,Fall Residency,1970,DELAHAYE,Alain
Asia,Eastern Asia,Taiwan,Fall Residency,1969,LO,Yen 
Asia,Eastern Asia,Taiwan,Fall Residency,1970,LO,Yen 
Asia,Eastern Asia,Taiwan,Fall Residency,1971,LO,Yen 
The Americas,South America,Peru,Fall Residency,1969,BELLI,Carlos Germán  
The Americas,South America,Peru,Fall Residency,1977,BELLI,Carlos Germán  
Asia,Eastern Asia,Japan,Fall Residency,1969,ODA,Motoi
Asia,Eastern Asia,Japan,Fall Residency,1984,ODA,Motoi
Africa,Western Africa,Ghana,Fall Residency,1970,ABRUQUAH,Joseph W.
Europe,Eastern Europe,Hungary,Fall Residency,1970,BÁTKI,John 
Europe,Northern Europe,Sweden,Fall Residency,1970,BECKMAN,Erik  
Europe,Eastern Europe,Poland,Fall Residency,1970,BRYLL,Ernest  
Europe,Eastern Europe,Romania,Fall Residency,1970,BUZEA,Constanta 
Asia,Western Asia,Israel,Fall Residency,1970,DOR,Moshe
Asia,South-eastern Asia,Philippines,Fall Residency,1970,GUILLERMO,"Gelacio Y., Jr.  "
Asia,Eastern Asia,South Korea,Fall Residency,1970,HWANG,Tong-Gyu
Asia,Eastern Asia,Japan,Fall Residency,1970,KAWACHI,Kaco
The Americas,North America,United States,Fall Residency,1970,KIZILOS,Apostolos  
Asia,Eastern Asia,Hong Kong,Fall Residency,1970,KOO,Siu-Sun
Europe,Southern Europe,Yugoslavia,Fall Residency,1970,KOZAK,Primoz 
Asia,South-eastern Asia,Vietnam,Fall Residency,1970,LAN THI NHAN,Nguyen 
The Americas,South America,Argentina,Fall Residency,1970,LIBERTELLA,Héctor 
Asia,Eastern Asia,Taiwan,Fall Residency,1970,LIN,Hwai-Min
Europe,Eastern Europe,Czechoslovakia,Fall Residency,1970,LUSTIG,Arnost
The Americas,South America,Chile,Fall Residency,1970,MORAND,Carlos  
Europe,Eastern Europe,Romania,Fall Residency,1970,MUNTEANU,Aurel Dragos 
Europe,Eastern Europe,Poland,Fall Residency,1970,NOWAKOWSKI,Marek 
Europe,Eastern Europe,Romania,Fall Residency,1970,PAUNESCU,Adrian 
Asia,South-eastern Asia,Indonesia,Fall Residency,1970,POYK,Gerson
The Americas,South America,Brazil,Fall Residency,1970,SANT' ANNA,Sergio
Asia,South-eastern Asia,Indonesia,Fall Residency,1970,SIREGAR,Sori
The Americas,South America,Colombia,Fall Residency,1970,SUESCUN,Nicolás
Europe,Eastern Europe,Hungary,Fall Residency,1970,SZÁSZ,Imre
Asia,South-central Asia,India,Fall Residency,1970,VARMA,Shrikant
Asia,South-central Asia,India,Fall Residency,1979,VARMA,Shrikant
Europe,Eastern Europe,Poland,Fall Residency,1970,GLOWACKI,Janusz   
