macro_region,region,country,iwp_program,years,family_name,given_name,OCLC,penname,drupal_nid
Asia,South-central Asia,Afghanistan,Fall Residency,1977,JONAID,Lutfurahman,,,1246
Asia,South-central Asia,Afghanistan,Fall Residency,2006,NADERI,Nasrallah Partaw,,,1490
Asia,South-central Asia,Afghanistan,Fall Residency,2012,ZEGHAM,Mohibullah,,,3153
Asia,South-central Asia,Afghanistan,Fall Residency,2014,MEHRDAD,Mojiburahman,,Mujib Mehrdad,3975
Europe,Southern Europe,Albania,Fall Residency,1996,ARAPI-BOLTZ,Lindita,Lindita Arapi,,764
Europe,Southern Europe,Albania,Fall Residency,1992,BUCPAPA,Uk,Uk Zenel Bucpapa,,898
Europe,Southern Europe,Albania,Fall Residency,2006,COCOLI,Gentian,,,2353
Europe,Southern Europe,Albania,Fall Residency,1999,LLESHANAKU,Luljeta,,,1378
Europe,Southern Europe,Albania,Fall Residency,1992,LUBONJA,Fatos,,,1388
Africa,Northern Africa,Algeria,Fall Residency,1988,MAGANI,Mohamed,,,1405
The Americas,South America,Argentina,Fall Residency,1997,ACCAME,Jorge E.,Jorge Accame,,744
The Americas,South America,Argentina,Fall Residency,1987,APARICIO,Carlos,Carlos Hugo Aparicio,,803
The Americas,South America,Argentina,Fall Residency,1995,ARIJÓN,Teresa,Teresa Arijón,,809
The Americas,South America,Argentina,Fall Residency,"1972, 1973",BECKFORD,Ricardo Rey,Ricardo Rey Beckford,,863
The Americas,South America,Argentina,Fall Residency,"1974, 1975",BLASI,Alberto O.,Alberto O. Blasi,,878
The Americas,South America,Argentina,Fall Residency,2007,BOSSI,Elena,,,837
The Americas,South America,Argentina,Fall Residency,2003,BRIZUELA,Leopoldo Diego,Leopoldo Brizuela,,839
The Americas,South America,Argentina,Fall Residency,1990,BUTTI,Enrique,Enrique M Butti,,903
The Americas,South America,Argentina,Fall Residency,2004,CÁCERES,Victoria,Victoria  Cáceres,,990
The Americas,South America,Argentina,Fall Residency,1998,CASAS,Fabian,,,915
The Americas,South America,Argentina,Fall Residency,"1967, 1968",CRANWELL,Elizabeth Azcona,,,979
The Americas,South America,Argentina,Fall Residency,2011,CRISTOFF,Maria,,,1941
The Americas,South America,Argentina,Fall Residency,1993,DELANEY,Juan Jose,,,1009
The Americas,South America,Argentina,Fall Residency,1985,DIACONÚ,Alina,,,1016
The Americas,South America,Argentina,Fall Residency,"1977, 1987",ESTEVE,Patricio,,,1061
The Americas,South America,Argentina,Fall Residency,2012,FALCO,Federico,,,3115
The Americas,South America,Argentina,Fall Residency,1994,FEILING,Carlos,,,1073
The Americas,South America,Argentina,Fall Residency,1996,FRESAN,Rodrigo,,,1088
The Americas,South America,Argentina,Fall Residency,1971,FUTORANSKY,Luisa,,,1090
The Americas,South America,Argentina,Fall Residency,2008,GAMERRO,Carlos,,,1097
The Americas,South America,Argentina,Fall Residency,2010,GARCES,Gonzalo,,,1099
The Americas,South America,Argentina,Fall Residency,1988,GORODISCHER,Angelique,,,1122
The Americas,South America,Argentina,Fall Residency,1970,LIBERTELLA,Héctor,,,1368
The Americas,South America,Argentina,Fall Residency,1996,LYSYJ,Viviana Irene,,,1392
The Americas,South America,Argentina,Fall Residency,2002,MARTINEZ,Guillermo,,,1416
The Americas,South America,Argentina,Fall Residency,2010,OLOIXARAC,Pola,,,1549
The Americas,South America,Argentina,Fall Residency,1982,PIÑA,Cristina,,,1595
The Americas,South America,Argentina,Fall Residency,2001,PUJOL,Sergio Alejandro,,,1611
The Americas,South America,Argentina,Fall Residency,1979,RABANAL,Rodolfo,,,1624
The Americas,South America,Argentina,Fall Residency,1973,RAWSON,Alicia Dellapiane,,,1641
The Americas,South America,Argentina,Fall Residency,1978,REAL,Juan Carlos Real *,,,1676
The Americas,South America,Argentina,Fall Residency,2000,REJTMAN,Martin,,,1647
The Americas,South America,Argentina,Fall Residency,1981,ROFFÉ,Reina,,,1662
The Americas,South America,Argentina,Fall Residency,1995,SCHETTINI,Ariel,,,2460
The Americas,South America,Argentina,Fall Residency,1984,SOLA,Marcela,,,2426
The Americas,South America,Argentina,Fall Residency,1983,STEIMBERG,Alicia,,,2438
The Americas,South America,Argentina,Fall Residency,1968,TASCA,Susana,,,2469
The Americas,South America,Argentina,Fall Residency,1969,VALENZUELA,Luisa,,,2499
The Americas,South America,Argentina,Fall Residency,1980,VANESCO,Alberto,,,2506
The Americas,South America,Argentina,Fall Residency,1968,VEIRAVÉ,Alfredo,,,2511
The Americas,South America,Argentina,Fall Residency,1976,VILLORDO,Oscar Hermes,,,2520
The Americas,South America,Argentina,Fall Residency,1992,ZAVALETA,Jorge Torres,,,2569
The Americas,South America,Argentina,Fall Residency,2014,KANOORE EDUL,Cynthia,,Cynthia Edul,3885
The Americas,South America,Argentina/ United States,Fall Residency,"1975, 1978",IRAMAIN,Leonardo,,,1224
Asia,Western Asia,Armenia,Fall Residency,2009,GRIGORYAN,Violet,,,1132
Asia,Western Asia,Armenia,Fall Residency,1991,ZEYTOUNTSIAN,Berj & Liliana,,,2570
Oceania,Oceania,Australia,Fall Residency,1995,CLOSE,Alan,,,963
Oceania,Oceania,Australia,Fall Residency,1994,KINSELLA,John,,,1341
Oceania,Oceania,Australia,Fall Residency,2005,MATEER,John,,,1422
Oceania,Oceania,Australia,Fall Residency,2009,PUNG,Alice,,,1613
Oceania,Oceania,Australia,Fall Residency,2011,ROWE,Josephine,,,1980
Oceania,Oceania,Australia,Fall Residency,1994,WOOLFE,Sue,,,2544
Oceania,Oceania,Australia,Fall Residency,2005,WRIGHT,Wendy Ella,,,2330
Oceania,Oceania,Australia,Fall Residency,1996,ZIMDAHL,Catherine Alice,,,2350
Oceania,Oceania,Australia,Fall Residency,2014,ECKERMANN,Ali Cobby,,Ali Cobby Eckermann,3890
Europe,Western Europe,Austria,Fall Residency,2004,BECKER,Zdenka,Zdenka Becker,,824
Europe,Western Europe,Austria,Fall Residency,"1994, 2005",HASLINGER,Josef,,,1169
Europe,Western Europe,Austria,Fall Residency,2009,WEBER,Andreas,,,2324
Europe,Western Europe,Austria/Egypt,Fall Residency,2008,ELTAYEB,Tarek,,,1048
Asia,Western Asia,Bahrain,Fall Residency,2013,ALSAEED,Ali,,Ali Al Saeed,3530
Asia,South-central Asia,Bangladesh,Fall Residency,1990,AHMED,Humayun,Humayuna Ahameda,,784
Asia,South-central Asia,Bangladesh,Fall Residency,1976,AHMED-UD-DIN,Feroz,Feroz Ahmed,,749
Asia,South-central Asia,Bangladesh,Fall Residency,2010,HOQUE,Anisul,,,1195
Asia,South-central Asia,Bangladesh,Fall Residency,1993,RAFIQ,Mohammad,,,1675
