id,featureid,cshapes_cntry_name,author_country_name,author_year,author_count,cumulative_count,marker_name,marker_lat,marker_lng
59081,143,Japan,Japan,1966,1,1,Tokyo,35.685,139.7514
64378,122,Sri Lanka,Sri Lanka,1998,0,4,Colombo,6.931944,79.84778
59231,148,Cambodia,Cambodia,1967,1,1,Phnom Penh,11.55,104.9167
59164,203,China,Hong Kong,1967,1,1,Hong Kong,22.3361568,114.1869659
59218,143,Japan,Japan,1967,3,4,Tokyo,35.685,139.7514
59154,42,Liberia,Liberia,1967,1,1,Monrovia,6.310555,-10.80472
59197,102,Poland,Poland,1967,1,2,Warsaw,52.25,21
59239,210,Singapore,Singapore,1967,1,1,Singapore City,1.293056,103.8558
59207,202,Taiwan,Taiwan,1967,1,1,Taipei,25.03917,121.525
59279,195,Ethiopia,Ethiopia,1967,1,1,Addis Ababa,9.033333,38.7
59275,106,France,France,1967,1,1,Paris,48.86666,2.333333
59284,227,India,India,1967,1,1,New Delhi,28.6,77.2
59276,129,Iran,Iran,1967,1,1,Tehran,35.67194,51.42445
59297,6,Argentina,Argentina,1968,3,4,Buenos Aires,-34.5875,-58.6725
59387,8,Brazil,Brazil,1968,2,2,Brasilia,-15.8,-47.9
59290,27,Colombia,Colombia,1968,1,1,Bogota,4.6,-74.08334
59377,188,Germany Federal Republic,Germany,1968,0,1,Berlin,52.51667,13.4
59304,203,China,Hong Kong,1968,1,2,Hong Kong,22.3361568,114.1869659
59359,143,Japan,Japan,1968,1,5,Tokyo,35.685,139.7514
59293,42,Liberia,Liberia,1968,0,1,Monrovia,6.310555,-10.80472
59294,16,Mexico,Mexico,1968,1,1,Mexico City,19.43417,-99.13861
59321,33,Panama,Panama,1968,1,1,Panama City,8.966667,-79.53333
59371,146,Philippines,Philippines,1968,2,4,Manila,14.60417,120.9822
59337,102,Poland,Poland,1968,2,4,Warsaw,52.25,21
59357,44,Portugal,Portugal,1968,1,1,Lisbon,38.71667,-9.133333
59380,210,Singapore,Singapore,1968,0,1,Singapore City,1.293056,103.8558
59330,122,Sri Lanka,Sri Lanka,1968,1,1,Colombo,6.931944,79.84778
59316,66,Sweden,Sweden,1968,1,1,Stockholm,59.33333,18.05
59348,202,Taiwan,Taiwan,1968,2,3,Taipei,25.03917,121.525
59386,159,Tanzania,Tanzania,1968,1,1,Dodoma,-6.173,35.7419
59333,97,Turkey,Turkey,1968,1,1,Ankara,39.92722,32.86444
59385,238,United States,United States,1968,2,2,Washington,38.895,-77.03667
59388,9,Chile,Chile,1968,2,2,Santiago,-33.45,-70.66666
59420,195,Ethiopia,Ethiopia,1968,0,1,Addis Ababa,9.033333,38.7
59416,106,France,France,1968,1,2,Paris,48.86666,2.333333
59425,227,India,India,1968,0,1,New Delhi,28.6,77.2
59417,129,Iran,Iran,1968,0,1,Tehran,35.67194,51.42445
59404,37,Ireland,Ireland,1968,1,1,Dublin,53.33306,-6.248889
59424,223,Israel,Israel,1968,1,1,Jerusalem,31.77917,35.22361
59400,191,Yugoslavia,Yugoslavia,1968,2,2,Belgrade,44.82,20.35
59438,6,Argentina,Argentina,1969,1,5,Buenos Aires,-34.5875,-58.6725
59431,27,Colombia,Colombia,1969,0,1,Bogota,4.6,-74.08334
59453,28,Costa Rica,Costa Rica,1969,1,1,San Jose,9.933333,-84.08334
59445,203,China,Hong Kong,1969,0,2,Hong Kong,22.3361568,114.1869659
59500,143,Japan,Japan,1969,2,7,Tokyo,35.685,139.7514
59434,42,Liberia,Liberia,1969,0,1,Monrovia,6.310555,-10.80472
59435,16,Mexico,Mexico,1969,1,2,Mexico City,19.43417,-99.13861
59462,33,Panama,Panama,1969,0,1,Panama City,8.966667,-79.53333
59512,146,Philippines,Philippines,1969,1,5,Manila,14.60417,120.9822
59478,102,Poland,Poland,1969,2,6,Warsaw,52.25,21
59498,44,Portugal,Portugal,1969,0,1,Lisbon,38.71667,-9.133333
59502,117,Romania,Romania,1969,0,1,Bukarest,44.43333,26.1
59471,122,Sri Lanka,Sri Lanka,1969,0,1,Colombo,6.931944,79.84778
59457,66,Sweden,Sweden,1969,0,1,Stockholm,59.33333,18.05
59489,202,Taiwan,Taiwan,1969,2,5,Taipei,25.03917,121.525
59474,97,Turkey,Turkey,1969,0,1,Ankara,39.92722,32.86444
59496,59,Uganda,Uganda,1969,1,1,Kampala,0.3155556,32.56556
64363,58,Sudan,Sudan,1998,0,1,Khartoum,15.58806,32.53417
59528,8,Brazil,Brazil,1969,2,4,Brasilia,-15.8,-47.9
59529,9,Chile,Chile,1969,1,3,Santiago,-33.45,-70.66666
59561,195,Ethiopia,Ethiopia,1969,0,1,Addis Ababa,9.033333,38.7
59557,106,France,France,1969,1,3,Paris,48.86666,2.333333
59518,188,Germany Federal Republic,Germany,1969,1,2,Berlin,52.51667,13.4
59566,227,India,India,1969,0,1,New Delhi,28.6,77.2
59558,129,Iran,Iran,1969,0,1,Tehran,35.67194,51.42445
59545,37,Ireland,Ireland,1969,0,1,Dublin,53.33306,-6.248889
59565,223,Israel,Israel,1969,1,2,Jerusalem,31.77917,35.22361
59521,210,Singapore,Singapore,1969,0,1,Singapore City,1.293056,103.8558
59526,238,United States,United States,1969,0,2,Washington,38.895,-77.03667
59553,3,Venezuela,Venezuela,1969,2,2,Caracas,10.5,-66.91666
59541,191,Yugoslavia,Yugoslavia,1969,1,3,Belgrade,44.82,20.35
59579,6,Argentina,Argentina,1970,1,6,Buenos Aires,-34.5875,-58.6725
59572,27,Colombia,Colombia,1970,1,2,Bogota,4.6,-74.08334
59594,28,Costa Rica,Costa Rica,1970,0,1,San Jose,9.933333,-84.08334
59604,41,Ghana,Ghana,1970,1,1,Accra,5.55,-0.2166667
59586,203,China,Hong Kong,1970,1,3,Hong Kong,22.3361568,114.1869659
59575,42,Liberia,Liberia,1970,0,1,Monrovia,6.310555,-10.80472
59603,33,Panama,Panama,1970,0,1,Panama City,8.966667,-79.53333
59613,122,Sri Lanka,Sri Lanka,1970,0,1,Colombo,6.931944,79.84778
59598,66,Sweden,Sweden,1970,1,2,Stockholm,59.33333,18.05
59631,202,Taiwan,Taiwan,1970,2,7,Taipei,25.03917,121.525
59616,97,Turkey,Turkey,1970,0,1,Ankara,39.92722,32.86444
59711,105,Belgium,Belgium,1970,0,1,Brussels,50.83333,4.333333
59670,8,Brazil,Brazil,1970,1,5,Brasilia,-15.8,-47.9
59671,9,Chile,Chile,1970,1,4,Santiago,-33.45,-70.66666
59703,195,Ethiopia,Ethiopia,1970,0,1,Addis Ababa,9.033333,38.7
59699,106,France,France,1970,1,4,Paris,48.86666,2.333333
59660,188,Germany Federal Republic,Germany,1970,0,2,Berlin,52.51667,13.4
59639,101,Hungary,Hungary,1970,2,2,Budapest,47.5,19.08333
59708,227,India,India,1970,1,2,New Delhi,28.6,77.2
59665,211,Indonesia,Indonesia,1970,2,2,Jakarta,-6.174444,106.8294
59700,129,Iran,Iran,1970,0,1,Tehran,35.67194,51.42445
59687,37,Ireland,Ireland,1970,0,1,Dublin,53.33306,-6.248889
59707,223,Israel,Israel,1970,1,3,Jerusalem,31.77917,35.22361
59642,143,Japan,Japan,1970,1,8,Tokyo,35.685,139.7514
59654,146,Philippines,Philippines,1970,1,6,Manila,14.60417,120.9822
59640,44,Portugal,Portugal,1970,0,1,Lisbon,38.71667,-9.133333
59644,117,Romania,Romania,1970,3,4,Bukarest,44.43333,26.1
59663,210,Singapore,Singapore,1970,0,1,Singapore City,1.293056,103.8558
59645,147,South Korea,South Korea,1970,1,1,Seoul,37.56639,126.9997
59669,159,Tanzania,Tanzania,1970,0,1,Dodoma,-6.173,35.7419
59638,59,Uganda,Uganda,1970,0,1,Kampala,0.3155556,32.56556
59668,238,United States,United States,1970,1,3,Washington,38.895,-77.03667
59695,3,Venezuela,Venezuela,1970,0,2,Caracas,10.5,-66.91666
59694,206,Vietnam,Vietnam,1970,1,1,Hanoi,21.03333,105.85
59683,191,Yugoslavia,Yugoslavia,1970,1,4,Belgrade,44.82,20.35
59721,6,Argentina,Argentina,1971,1,7,Buenos Aires,-34.5875,-58.6725
59714,27,Colombia,Colombia,1971,0,2,Bogota,4.6,-74.08334
59736,28,Costa Rica,Costa Rica,1971,0,1,San Jose,9.933333,-84.08334
59747,41,Ghana,Ghana,1971,0,1,Accra,5.55,-0.2166667
59728,203,China,Hong Kong,1971,0,3,Hong Kong,22.3361568,114.1869659
59718,16,Mexico,Mexico,1971,0,3,Mexico City,19.43417,-99.13861
59755,79,Nigeria,Nigeria,1971,1,2,Abuja,9.083333,7.533333
59745,33,Panama,Panama,1971,0,1,Panama City,8.966667,-79.53333
59759,122,Sri Lanka,Sri Lanka,1971,0,1,Colombo,6.931944,79.84778
59740,66,Sweden,Sweden,1971,0,2,Stockholm,59.33333,18.05
64352,66,Sweden,Sweden,1998,0,6,Stockholm,59.33333,18.05
59859,105,Belgium,Belgium,1971,0,1,Brussels,50.83333,4.333333
59819,8,Brazil,Brazil,1971,1,6,Brasilia,-15.8,-47.9
59804,148,Cambodia,Cambodia,1971,0,1,Phnom Penh,11.55,104.9167
59820,9,Chile,Chile,1971,1,5,Santiago,-33.45,-70.66666
59831,190,Czechoslovakia,Czechoslovakia,1971,0,1,Prague,50.09,14.35
59852,195,Ethiopia,Ethiopia,1971,0,1,Addis Ababa,9.033333,38.7
59809,188,Germany Federal Republic,Germany,1971,0,2,Berlin,52.51667,13.4
59786,101,Hungary,Hungary,1971,1,3,Budapest,47.5,19.08333
59856,227,India,India,1971,1,3,New Delhi,28.6,77.2
59814,211,Indonesia,Indonesia,1971,1,3,Jakarta,-6.174444,106.8294
59849,129,Iran,Iran,1971,0,1,Tehran,35.67194,51.42445
59855,223,Israel,Israel,1971,1,4,Jerusalem,31.77917,35.22361
59791,143,Japan,Japan,1971,2,10,Tokyo,35.685,139.7514
59777,78,Niger,Nigeria,1971,1,2,Abuja,9.083333,7.533333
59803,146,Philippines,Philippines,1971,0,6,Manila,14.60417,120.9822
59766,102,Poland,Poland,1971,1,12,Warsaw,52.25,21
59787,44,Portugal,Portugal,1971,0,1,Lisbon,38.71667,-9.133333
59793,117,Romania,Romania,1971,2,6,Bukarest,44.43333,26.1
59812,210,Singapore,Singapore,1971,0,1,Singapore City,1.293056,103.8558
59794,147,South Korea,South Korea,1971,1,2,Seoul,37.56639,126.9997
59778,202,Taiwan,Taiwan,1971,3,10,Taipei,25.03917,121.525
59818,159,Tanzania,Tanzania,1971,0,1,Dodoma,-6.173,35.7419
59762,97,Turkey,Turkey,1971,0,1,Ankara,39.92722,32.86444
59785,59,Uganda,Uganda,1971,0,1,Kampala,0.3155556,32.56556
59817,238,United States,United States,1971,0,3,Washington,38.895,-77.03667
59844,3,Venezuela,Venezuela,1971,0,2,Caracas,10.5,-66.91666
59843,206,Vietnam,Vietnam,1971,0,1,Hanoi,21.03333,105.85
59832,191,Yugoslavia,Yugoslavia,1971,0,4,Belgrade,44.82,20.35
59869,6,Argentina,Argentina,1972,1,8,Buenos Aires,-34.5875,-58.6725
59862,27,Colombia,Colombia,1972,0,2,Bogota,4.6,-74.08334
59884,28,Costa Rica,Costa Rica,1972,0,1,San Jose,9.933333,-84.08334
