id,featureid,cshapes_cntry_name,author_country_name,author_year,author_count,cumulative_count,marker_name,marker_lat,marker_lng
84442,143,Japan,Japan,1966,1,1,Tokyo,35.685,139.7514
84465,102,Poland,Poland,1966,1,1,Warsaw,52.25,21
84589,6,Argentina,Argentina,1967,1,1,Buenos Aires,-34.5875,-58.6725
84560,195,Ethiopia,Ethiopia,1967,1,1,Addis Ababa,9.033333,38.7
84606,106,France,France,1967,1,1,Paris,48.86666,2.333333
84553,188,Germany Federal Republic,Germany,1967,1,1,Berlin,52.51667,13.4
84584,203,China,Hong Kong,1967,1,1,Hong Kong,22.3361568,114.1869659
84608,227,India,India,1967,1,1,New Delhi,28.6,77.2
84607,129,Iran,Iran,1967,1,1,Tehran,35.67194,51.42445
84579,143,Japan,Japan,1967,3,4,Tokyo,35.685,139.7514
84625,42,Liberia,Liberia,1967,1,1,Monrovia,6.310555,-10.80472
84602,102,Poland,Poland,1967,1,2,Warsaw,52.25,21
84680,148,Cambodia,Cambodia,1967,1,1,Phnom Penh,11.55,104.9167
84679,146,Philippines,Philippines,1967,2,2,Manila,14.60417,120.9822
84669,202,Taiwan,Taiwan,1967,1,1,Taipei,25.03917,121.525
84727,6,Argentina,Argentina,1968,3,4,Buenos Aires,-34.5875,-58.6725
84729,8,Brazil,Brazil,1968,2,2,Brasilia,-15.8,-47.9
84730,9,Chile,Chile,1968,2,2,Santiago,-33.45,-70.66666
84765,27,Colombia,Colombia,1968,1,1,Bogota,4.6,-74.08334
84698,195,Ethiopia,Ethiopia,1968,0,1,Addis Ababa,9.033333,38.7
84744,106,France,France,1968,1,2,Paris,48.86666,2.333333
84722,203,China,Hong Kong,1968,1,2,Hong Kong,22.3361568,114.1869659
84746,227,India,India,1968,0,1,New Delhi,28.6,77.2
84745,129,Iran,Iran,1968,0,1,Tehran,35.67194,51.42445
84768,37,Ireland,Ireland,1968,1,1,Dublin,53.33306,-6.248889
84717,143,Japan,Japan,1968,1,5,Tokyo,35.685,139.7514
84763,42,Liberia,Liberia,1968,0,1,Monrovia,6.310555,-10.80472
84749,16,Mexico,Mexico,1968,1,1,Mexico City,19.43417,-99.13861
84740,102,Poland,Poland,1968,2,4,Warsaw,52.25,21
84695,159,Tanzania,Tanzania,1968,1,1,Dodoma,-6.173,35.7419
84755,97,Turkey,Turkey,1968,1,1,Ankara,39.92722,32.86444
84704,238,United States,United States,1968,2,2,Washington,38.895,-77.03667
84707,191,Yugoslavia,Yugoslavia,1968,2,2,Belgrade,44.82,20.35
84816,105,Belgium,Belgium,1968,1,1,Brussels,50.83333,4.333333
84821,148,Cambodia,Cambodia,1968,0,1,Phnom Penh,11.55,104.9167
84793,33,Panama,Panama,1968,1,1,Panama City,8.966667,-79.53333
84820,146,Philippines,Philippines,1968,2,4,Manila,14.60417,120.9822
84827,210,Singapore,Singapore,1968,0,1,Singapore City,1.293056,103.8558
84798,122,Sri Lanka,Sri Lanka,1968,1,1,Colombo,6.931944,79.84778
84788,66,Sweden,Sweden,1968,1,1,Stockholm,59.33333,18.05
84810,202,Taiwan,Taiwan,1968,2,3,Taipei,25.03917,121.525
84868,6,Argentina,Argentina,1969,1,5,Buenos Aires,-34.5875,-58.6725
84871,9,Chile,Chile,1969,1,3,Santiago,-33.45,-70.66666
84906,27,Colombia,Colombia,1969,0,1,Bogota,4.6,-74.08334
84839,195,Ethiopia,Ethiopia,1969,0,1,Addis Ababa,9.033333,38.7
84832,188,Germany Federal Republic,Germany,1969,1,2,Berlin,52.51667,13.4
84863,203,China,Hong Kong,1969,0,2,Hong Kong,22.3361568,114.1869659
84887,227,India,India,1969,0,1,New Delhi,28.6,77.2
84886,129,Iran,Iran,1969,0,1,Tehran,35.67194,51.42445
84909,37,Ireland,Ireland,1969,0,1,Dublin,53.33306,-6.248889
84853,223,Israel,Israel,1969,1,2,Jerusalem,31.77917,35.22361
84858,143,Japan,Japan,1969,2,7,Tokyo,35.685,139.7514
84904,42,Liberia,Liberia,1969,0,1,Monrovia,6.310555,-10.80472
84890,16,Mexico,Mexico,1969,1,2,Mexico City,19.43417,-99.13861
84881,102,Poland,Poland,1969,2,6,Warsaw,52.25,21
84880,44,Portugal,Portugal,1969,0,1,Lisbon,38.71667,-9.133333
84836,159,Tanzania,Tanzania,1969,0,1,Dodoma,-6.173,35.7419
84896,97,Turkey,Turkey,1969,0,1,Ankara,39.92722,32.86444
84845,238,United States,United States,1969,0,2,Washington,38.895,-77.03667
84879,3,Venezuela,Venezuela,1969,2,2,Caracas,10.5,-66.91666
84848,191,Yugoslavia,Yugoslavia,1969,1,3,Belgrade,44.82,20.35
84957,105,Belgium,Belgium,1969,0,1,Brussels,50.83333,4.333333
84962,148,Cambodia,Cambodia,1969,0,1,Phnom Penh,11.55,104.9167
84926,28,Costa Rica,Costa Rica,1969,1,1,San Jose,9.933333,-84.08334
84934,33,Panama,Panama,1969,0,1,Panama City,8.966667,-79.53333
84961,146,Philippines,Philippines,1969,1,5,Manila,14.60417,120.9822
84958,117,Romania,Romania,1969,0,1,Bukarest,44.43333,26.1
84968,210,Singapore,Singapore,1969,0,1,Singapore City,1.293056,103.8558
84939,122,Sri Lanka,Sri Lanka,1969,0,1,Colombo,6.931944,79.84778
84951,202,Taiwan,Taiwan,1969,2,5,Taipei,25.03917,121.525
84955,59,Uganda,Uganda,1969,1,1,Kampala,0.3155556,32.56556
85009,6,Argentina,Argentina,1970,1,6,Buenos Aires,-34.5875,-58.6725
85011,8,Brazil,Brazil,1970,1,5,Brasilia,-15.8,-47.9
85012,9,Chile,Chile,1970,1,4,Santiago,-33.45,-70.66666
84980,195,Ethiopia,Ethiopia,1970,0,1,Addis Ababa,9.033333,38.7
85026,106,France,France,1970,1,4,Paris,48.86666,2.333333
84973,188,Germany Federal Republic,Germany,1970,0,2,Berlin,52.51667,13.4
85004,203,China,Hong Kong,1970,1,3,Hong Kong,22.3361568,114.1869659
85028,227,India,India,1970,1,2,New Delhi,28.6,77.2
84974,211,Indonesia,Indonesia,1970,2,2,Jakarta,-6.174444,106.8294
85027,129,Iran,Iran,1970,0,1,Tehran,35.67194,51.42445
84994,223,Israel,Israel,1970,1,3,Jerusalem,31.77917,35.22361
84999,143,Japan,Japan,1970,1,8,Tokyo,35.685,139.7514
85031,16,Mexico,Mexico,1970,1,3,Mexico City,19.43417,-99.13861
85022,102,Poland,Poland,1970,5,11,Warsaw,52.25,21
85002,147,South Korea,South Korea,1970,1,1,Seoul,37.56639,126.9997
84977,159,Tanzania,Tanzania,1970,0,1,Dodoma,-6.173,35.7419
84986,238,United States,United States,1970,1,3,Washington,38.895,-77.03667
85020,3,Venezuela,Venezuela,1970,0,2,Caracas,10.5,-66.91666
84991,206,Vietnam,Vietnam,1970,1,1,Hanoi,21.03333,105.85
84989,191,Yugoslavia,Yugoslavia,1970,1,4,Belgrade,44.82,20.35
85099,105,Belgium,Belgium,1970,0,1,Brussels,50.83333,4.333333
85104,148,Cambodia,Cambodia,1970,0,1,Phnom Penh,11.55,104.9167
85047,27,Colombia,Colombia,1970,1,2,Bogota,4.6,-74.08334
85067,28,Costa Rica,Costa Rica,1970,0,1,San Jose,9.933333,-84.08334
85076,41,Ghana,Ghana,1970,1,1,Accra,5.55,-0.2166667
85098,101,Hungary,Hungary,1970,2,2,Budapest,47.5,19.08333
85050,37,Ireland,Ireland,1970,0,1,Dublin,53.33306,-6.248889
85045,42,Liberia,Liberia,1970,0,1,Monrovia,6.310555,-10.80472
85075,33,Panama,Panama,1970,0,1,Panama City,8.966667,-79.53333
85103,146,Philippines,Philippines,1970,1,6,Manila,14.60417,120.9822
85100,117,Romania,Romania,1970,3,4,Bukarest,44.43333,26.1
85110,210,Singapore,Singapore,1970,0,1,Singapore City,1.293056,103.8558
85081,122,Sri Lanka,Sri Lanka,1970,0,1,Colombo,6.931944,79.84778
85070,66,Sweden,Sweden,1970,1,2,Stockholm,59.33333,18.05
85093,202,Taiwan,Taiwan,1970,2,7,Taipei,25.03917,121.525
85037,97,Turkey,Turkey,1970,0,1,Ankara,39.92722,32.86444
85097,59,Uganda,Uganda,1970,0,1,Kampala,0.3155556,32.56556
85150,6,Argentina,Argentina,1971,1,7,Buenos Aires,-34.5875,-58.6725
85152,8,Brazil,Brazil,1971,1,6,Brasilia,-15.8,-47.9
85153,9,Chile,Chile,1971,1,5,Santiago,-33.45,-70.66666
85122,195,Ethiopia,Ethiopia,1971,0,1,Addis Ababa,9.033333,38.7
85115,188,Germany Federal Republic,Germany,1971,0,2,Berlin,52.51667,13.4
85145,203,China,Hong Kong,1971,0,3,Hong Kong,22.3361568,114.1869659
85116,211,Indonesia,Indonesia,1971,1,3,Jakarta,-6.174444,106.8294
85135,223,Israel,Israel,1971,1,4,Jerusalem,31.77917,35.22361
85143,147,South Korea,South Korea,1971,1,2,Seoul,37.56639,126.9997
85119,159,Tanzania,Tanzania,1971,0,1,Dodoma,-6.173,35.7419
85127,238,United States,United States,1971,0,3,Washington,38.895,-77.03667
85132,206,Vietnam,Vietnam,1971,0,1,Hanoi,21.03333,105.85
85130,191,Yugoslavia,Yugoslavia,1971,0,4,Belgrade,44.82,20.35
85247,105,Belgium,Belgium,1971,0,1,Brussels,50.83333,4.333333
85252,148,Cambodia,Cambodia,1971,0,1,Phnom Penh,11.55,104.9167
85191,27,Colombia,Colombia,1971,0,2,Bogota,4.6,-74.08334
85211,28,Costa Rica,Costa Rica,1971,0,1,San Jose,9.933333,-84.08334
85167,106,France,France,1971,0,4,Paris,48.86666,2.333333
85220,41,Ghana,Ghana,1971,0,1,Accra,5.55,-0.2166667
85246,101,Hungary,Hungary,1971,1,3,Budapest,47.5,19.08333
85169,227,India,India,1971,1,3,New Delhi,28.6,77.2
85168,129,Iran,Iran,1971,0,1,Tehran,35.67194,51.42445
85194,37,Ireland,Ireland,1971,0,1,Dublin,53.33306,-6.248889
85189,42,Liberia,Liberia,1971,0,1,Monrovia,6.310555,-10.80472
85172,16,Mexico,Mexico,1971,0,3,Mexico City,19.43417,-99.13861
85240,78,Niger,Nigeria,1971,1,2,Abuja,9.083333,7.533333
85173,79,Nigeria,Nigeria,1971,1,2,Abuja,9.083333,7.533333
85219,33,Panama,Panama,1971,0,1,Panama City,8.966667,-79.53333
85251,146,Philippines,Philippines,1971,0,6,Manila,14.60417,120.9822
85162,44,Portugal,Portugal,1971,0,1,Lisbon,38.71667,-9.133333
85248,117,Romania,Romania,1971,2,6,Bukarest,44.43333,26.1
85258,210,Singapore,Singapore,1971,0,1,Singapore City,1.293056,103.8558
85228,122,Sri Lanka,Sri Lanka,1971,0,1,Colombo,6.931944,79.84778
85214,66,Sweden,Sweden,1971,0,2,Stockholm,59.33333,18.05
85241,202,Taiwan,Taiwan,1971,3,10,Taipei,25.03917,121.525
85178,97,Turkey,Turkey,1971,0,1,Ankara,39.92722,32.86444
85245,59,Uganda,Uganda,1971,0,1,Kampala,0.3155556,32.56556
85199,38,United Kingdom,United Kingdom,1971,1,1,London,51.5,-0.1166667
85161,3,Venezuela,Venezuela,1971,0,2,Caracas,10.5,-66.91666
85277,190,Czechoslovakia,Czechoslovakia,1972,0,1,Prague,50.09,14.35
85270,195,Ethiopia,Ethiopia,1972,1,2,Addis Ababa,9.033333,38.7
85263,188,Germany Federal Republic,Germany,1972,0,2,Berlin,52.51667,13.4
85264,211,Indonesia,Indonesia,1972,2,5,Jakarta,-6.174444,106.8294
85267,159,Tanzania,Tanzania,1972,0,1,Dodoma,-6.173,35.7419
85275,238,United States,United States,1972,0,3,Washington,38.895,-77.03667
85280,206,Vietnam,Vietnam,1972,0,1,Hanoi,21.03333,105.85
85278,191,Yugoslavia,Yugoslavia,1972,1,5,Belgrade,44.82,20.35
87358,191,Yugoslavia,Yugoslavia,1985,1,13,Belgrade,44.82,20.35
85298,6,Argentina,Argentina,1972,1,8,Buenos Aires,-34.5875,-58.6725
85395,105,Belgium,Belgium,1972,0,1,Brussels,50.83333,4.333333
85300,8,Brazil,Brazil,1972,1,7,Brasilia,-15.8,-47.9
85400,148,Cambodia,Cambodia,1972,0,1,Phnom Penh,11.55,104.9167
85301,9,Chile,Chile,1972,0,5,Santiago,-33.45,-70.66666
85339,27,Colombia,Colombia,1972,0,2,Bogota,4.6,-74.08334
85359,28,Costa Rica,Costa Rica,1972,0,1,San Jose,9.933333,-84.08334
85315,106,France,France,1972,0,4,Paris,48.86666,2.333333
85368,41,Ghana,Ghana,1972,0,1,Accra,5.55,-0.2166667
85325,94,Greece,Greece,1972,1,1,Athens,37.98333,23.73333
85293,203,China,Hong Kong,1972,0,3,Hong Kong,22.3361568,114.1869659
85394,101,Hungary,Hungary,1972,2,5,Budapest,47.5,19.08333
85317,227,India,India,1972,0,3,New Delhi,28.6,77.2
85316,129,Iran,Iran,1972,0,1,Tehran,35.67194,51.42445
