id,cshapes_cntry,author_country,marker_name,marker_lat,marker_lon,
,Afghanistan,Afghanistan,Kabul,35.4287280157,54.8885812056,"35.42872801572534, 54.888581205576216"
,Albania,Albania,Tirane,40.3307723771,14.9739916357,"40.33077237709128, 14.973991635717427"
,Argentina,Argentina,Buenos Aires,-34.4931731228,-47.2362133614,"-34.49317312281964, -47.23621336144669"
,Armenia,Armenia,Yerevan,39.5804694146,33.9757600452,"39.5804694145519, 33.9757600451909"
,Australia,Australia,Canberra,-35.6502909762,115.9490471493,"-35.65029097617796, 115.94904714934619"
,Austria,Austria,Vienna,45.3450239578,11.2140341908,"45.34502395784431, 11.214034190833887"
,Bangladesh,Bangladesh,Dhaka,25.2187200234,76.9511414194,"25.2187200233877, 76.95114141935571"
,Barbados,Barbados,Bridgetown,14.3925413433,-52.689705358,"14.392541343272272, -52.68970535795134"
,Belarus,Belarus,Minsk,48.6856083738,18.0658574685,"48.68560837377437, 18.065857468493572"
,Belgium,Belgium,Brussels,47.0599797544,2.9949536605,"47.05997975442443, 2.994953660489288"
,Bolivia,Bolivia,La Paz,-17.2106372502,-58.5005486819,"-17.210637250196132, -58.50054868186228"
,Bosnia and Herzegovina,Bosnia-Herzegovina,Sarajevo,42.3600845066,13.404753198,"42.360084506588684, 13.40475319797679"
,Brazil,Brazil,Brasilia,-16.8243630751,-41.720573308,"-16.82436307514718, -41.720573308001825"
,Bulgaria,Bulgaria,Sofia,41.5280431273,17.4288398849,"41.5280431273155, 17.428839884856288"
,Myanmar,Burma,Yangon,18.8280606158,83.7252796258,"18.82806061576111, 83.7252796258401"
,Cambodia,Cambodia,Phnom Penh,13.0492427316,93.1407102523,"13.049242731579783, 93.14071025228405"
,Chile,Chile,Santiago,-34.4675581727,-56.8691621872,"-34.46755817267031, -56.8691621871814"
,China,China,Beijing,39.5684935297,89.02340148,"39.568493529652024, 89.02340147999419"
,Colombia,Colombia,Bogota,4.0864558914,-66.2069077425,"4.086455891448732, -66.20690774245004"
,Costa Rica,Costa Rica,San Jose,10.6468852938,-74.6901175148,"10.64688529377786, -74.6901175147906"
,Cote d'Ivoire,Cote d'Ivoire,Yamoussoukro,7.6560891762,-4.7580164428,"7.656089176150238, -4.758016442803655"
,Croatia,Croatia,Zagreb,43.5990034896,11.3927098545,"43.59900348955857, 11.392709854537042"
,Cuba,Cuba,Havana,24.2591820462,-69.283236561," 24.2591820462229, -69.28323656099111"
,Cyprus,Cyprus,Nicosia,35.4034037602,26.3820443378,"35.40340376022008, 26.382044337807276"
,Czech Republic,Czech Republic,Prague,46.3353856328,10.0487581232,"46.33538563275766, 10.048758123204694"
,Denmark,Denmark,Copenhagen,49.7962899053,7.7104374808,"49.79628990529056, 7.7104374808287535"
