id,cshapes_cntry,author_country,marker_name,marker_lat,marker_lon,marker_wkt
1000,Afghanistan,Afghanistan,Kabul,35.4287280157,54.8885812056,POINT(54.8885812055762 35.4287280157253)
1010,Albania,Albania,Tirane,40.3307723771,14.9739916357,POINT(14.9739916357174 40.3307723770913)
1020,Argentina,Argentina,Buenos Aires,-34.4931731228,-47.2362133614,POINT(-47.2362133614467 -34.4931731228196)
1030,Armenia,Armenia,Yerevan,39.5804694146,33.9757600452,POINT(33.9757600451909 39.5804694145519)
1040,Australia,Australia,Canberra,-35.6502909762,115.9490471493,POINT(115.949047149346 -35.650290976178)
1050,Austria,Austria,Vienna,45.3450239578,11.2140341908,POINT(11.2140341908339 45.3450239578443)
1060,Bangladesh,Bangladesh,Dhaka,25.2187200234,76.9511414194,POINT(76.9511414193557 25.2187200233877)
1070,Barbados,Barbados,Bridgetown,14.3925413433,-52.689705358,POINT(-52.6897053579513 14.3925413432723)
1080,Belarus,Belarus,Minsk,48.6856083738,18.0658574685,POINT(18.0658574684936 48.6856083737744)
1090,Belgium,Belgium,Brussels,47.0599797544,2.9949536605,POINT(2.99495366048929 47.0599797544244)
1100,Bolivia,Bolivia,La Paz,-17.2106372502,-58.5005486819,POINT(-58.5005486818623 -17.2106372501961)
1110,Bosnia and Herzegovina,Bosnia-Herzegovina,Sarajevo,42.3600845066,13.404753198,POINT(13.4047531979768 42.3600845065887)
1120,Brazil,Brazil,Brasilia,-16.8243630751,-41.720573308,POINT(-41.7205733080018 -16.8243630751471)
1130,Bulgaria,Bulgaria,Sofia,41.5280431273,17.4288398849,POINT(17.4288398848563 41.5280431273155)
1140,Myanmar,Burma,Yangon,18.8280606158,83.7252796258,POINT(83.7252796258401 18.8280606157611)
1150,Cambodia,Cambodia,Phnom Penh,13.0492427316,93.1407102523,POINT(93.140710252284 13.0492427315798)
1160,Chile,Chile,Santiago,-34.4675581727,-56.8691621872,POINT(-56.8691621871814 -34.4675581726703)
1170,China,China,Beijing,39.5684935297,89.02340148,POINT(89.0234014799942 39.568493529652)
