id,featureid,cshapes_cntry_name,author_country_name,year,author_count,cumulative_count
41841,143,Japan,Japan,1966,1,1
41830,102,Poland,Poland,1966,1,1
49072,82,Albania,Albania,2007,0,5
41967,6,Argentina,Argentina,1967,1,1
41991,195,Ethiopia,Ethiopia,1967,1,1
41965,106,France,France,1967,1,1
41998,203,China,Hong Kong,1967,1,1
42009,227,India,India,1967,1,1
41972,129,Iran,Iran,1967,1,1
41975,143,Japan,Japan,1967,2,3
41950,42,Liberia,Liberia,1967,1,1
41964,102,Poland,Poland,1967,1,2
41994,210,Singapore,Singapore,1967,1,1
41996,202,Taiwan,Taiwan,1967,1,1
48749,134,Afghanistan,Afghanistan,2006,1,2
42068,148,Cambodia,Cambodia,1967,1,1
42067,146,Philippines,Philippines,1967,2,2
42106,6,Argentina,Argentina,1968,3,4
42183,105,Belgium,Belgium,1968,1,1
42156,8,Brazil,Brazil,1968,2,2
42157,9,Chile,Chile,1968,2,2
42076,27,Colombia,Colombia,1968,1,1
42131,195,Ethiopia,Ethiopia,1968,0,1
42104,106,France,France,1968,1,2
42138,203,China,Hong Kong,1968,1,2
42149,227,India,India,1968,0,1
42111,129,Iran,Iran,1968,0,1
42080,37,Ireland,Ireland,1968,1,1
42147,223,Israel,Israel,1968,1,1
42114,143,Japan,Japan,1968,1,4
42088,42,Liberia,Liberia,1968,0,1
42074,16,Mexico,Mexico,1968,1,1
42103,102,Poland,Poland,1968,2,4
42134,210,Singapore,Singapore,1968,0,1
42096,122,Sri Lanka,Sri Lanka,1968,1,1
42136,202,Taiwan,Taiwan,1968,2,3
42153,159,Tanzania,Tanzania,1968,1,1
42161,97,Turkey,Turkey,1968,1,1
42152,238,United States,United States,1968,2,2
48870,82,Albania,Albania,2006,1,5
42208,148,Cambodia,Cambodia,1968,0,1
42184,33,Panama,Panama,1968,1,1
42207,146,Philippines,Philippines,1968,2,4
42204,117,Romania,Romania,1968,1,1
42247,6,Argentina,Argentina,1969,1,5
42297,8,Brazil,Brazil,1969,2,4
42298,9,Chile,Chile,1969,1,3
42217,27,Colombia,Colombia,1969,0,1
42272,195,Ethiopia,Ethiopia,1969,0,1
42245,106,France,France,1969,1,3
42279,203,China,Hong Kong,1969,0,2
42290,227,India,India,1969,0,1
42252,129,Iran,Iran,1969,0,1
42221,37,Ireland,Ireland,1969,0,1
42255,143,Japan,Japan,1969,2,6
42229,42,Liberia,Liberia,1969,0,1
42215,16,Mexico,Mexico,1969,1,2
42301,12,Peru,Perú,1969,1,1
42244,102,Poland,Poland,1969,2,6
42309,44,Portugal,Portugal,1969,0,1
42275,210,Singapore,Singapore,1969,0,1
42237,122,Sri Lanka,Sri Lanka,1969,0,1
42277,202,Taiwan,Taiwan,1969,2,5
42294,159,Tanzania,Tanzania,1969,0,1
42302,97,Turkey,Turkey,1969,0,1
42296,59,Uganda,Uganda,1969,1,1
42293,238,United States,United States,1969,0,2
42306,3,Venezuela,Venezuela,1969,2,2
48733,6,Argentina,Argentina,2006,1,43
42324,105,Belgium,Belgium,1969,0,1
